N = 16
k = 1 , l = 9 , inner_product =  -2.0816681711721685e-17
k = 1 , l = 10 , inner_product =  2.2898349882893854e-16
k = 1 , l = 11 , inner_product =  -2.5522119140308774e-16
k = 1 , l = 12 , inner_product =  -4.649058915617843e-16
k = 1 , l = 13 , inner_product =  -2.458970527197124e-16
k = 1 , l = 14 , inner_product =  3.7470027081099033e-16
k = 1 , l = 15 , inner_product =  -1.97758476261356e-16
k = 1 , l = 16 , inner_product =  3.3306690738754696e-16
k = 1 , l = 17 , inner_product =  -3.157196726277789e-16
k = 1 , l = 18 , inner_product =  4.163336342344337e-17
k = 1 , l = 19 , inner_product =  -1.7672495411513722e-16
k = 1 , l = 20 , inner_product =  6.245004513516506e-17
k = 1 , l = 21 , inner_product =  -1.3010426069826053e-17
k = 1 , l = 22 , inner_product =  -1.1796119636642288e-16
k = 1 , l = 23 , inner_product =  -3.677613769070831e-16
k = 1 , l = 24 , inner_product =  -1.1102230246251565e-16
k = 1 , l = 25 , inner_product =  -5.689893001203927e-16
k = 1 , l = 26 , inner_product =  3.469446951953614e-16
k = 1 , l = 27 , inner_product =  -6.477023778428403e-16
k = 1 , l = 28 , inner_product =  1.6653345369377348e-16
k = 1 , l = 29 , inner_product =  -6.223320470066795e-16
k = 1 , l = 30 , inner_product =  4.440892098500626e-16
k = 1 , l = 31 , inner_product =  -7.771561172376096e-16
k = 1 , l = 32 , inner_product =  9.26342336171615e-16
k = 1 , l = 33 , inner_product =  -8.881784197001252e-16
k = 1 , l = 34 , inner_product =  -8.881784197001252e-16
k = 1 , l = 35 , inner_product =  -1.8214596497756474e-17
k = 1 , l = 36 , inner_product =  -5.134781488891349e-16
k = 1 , l = 37 , inner_product =  1.951563910473908e-16
k = 1 , l = 38 , inner_product =  -8.326672684688674e-17
k = 1 , l = 39 , inner_product =  -3.122502256758253e-16
k = 1 , l = 40 , inner_product =  -1.3183898417423734e-16
k = 1 , l = 41 , inner_product =  -2.8449465006019636e-16
k = 1 , l = 42 , inner_product =  -4.85722573273506e-16
k = 1 , l = 43 , inner_product =  3.599551212651875e-17
k = 1 , l = 44 , inner_product =  -3.157196726277789e-16
k = 1 , l = 45 , inner_product =  -1.0408340855860843e-16
k = 1 , l = 46 , inner_product =  -1.3808398868775384e-15
k = 1 , l = 47 , inner_product =  2.168404344971009e-15
k = 1 , l = 48 , inner_product =  -2.0573820425084932e-15
k = 1 , l = 49 , inner_product =  1.124100812432971e-15
k = 1 , l = 50 , inner_product =  -6.487865800153259e-16
k = 1 , l = 51 , inner_product =  7.311859451242242e-16
k = 1 , l = 52 , inner_product =  -3.226585665316861e-16
k = 1 , l = 53 , inner_product =  -2.2985086056692694e-16
k = 1 , l = 54 , inner_product =  -1.5265566588595902e-16
k = 1 , l = 55 , inner_product =  -4.579669976578771e-16
k = 1 , l = 56 , inner_product =  8.743006318923108e-16
k = 1 , l = 57 , inner_product =  -6.522560269672795e-16
k = 1 , l = 58 , inner_product =  2.706168622523819e-16
k = 1 , l = 59 , inner_product =  5.872038966181492e-16
k = 1 , l = 60 , inner_product =  -4.3021142204224816e-16
k = 1 , l = 61 , inner_product =  1.1171619185290638e-15
k = 1 , l = 62 , inner_product =  1.6653345369377348e-16
k = 1 , l = 63 , inner_product =  6.245004513516506e-16
k = 2 , l = 0 , inner_product =  -3.9898639947466563e-17
k = 2 , l = 1 , inner_product =  6.938893903907228e-17
k = 2 , l = 2 , inner_product =  1.0
k = 2 , l = 3 , inner_product =  8.326672684688674e-17
k = 2 , l = 4 , inner_product =  -5.724587470723463e-17
k = 2 , l = 5 , inner_product =  3.469446951953614e-17
k = 2 , l = 6 , inner_product =  -7.632783294297951e-17
k = 2 , l = 7 , inner_product =  1.0408340855860843e-16
k = 2 , l = 8 , inner_product =  -1.1275702593849246e-16
k = 2 , l = 9 , inner_product =  -1.3183898417423734e-16
k = 2 , l = 10 , inner_product =  -1.6653345369377348e-16
k = 2 , l = 11 , inner_product =  1.6653345369377348e-16
k = 2 , l = 12 , inner_product =  -1.5699247457590104e-16
k = 2 , l = 13 , inner_product =  2.498001805406602e-16
k = 2 , l = 14 , inner_product =  -1.0755285551056204e-16
k = 2 , l = 15 , inner_product =  9.020562075079397e-17
k = 2 , l = 16 , inner_product =  -1.8474805019152996e-16
k = 2 , l = 17 , inner_product =  3.469446951953614e-16
k = 2 , l = 18 , inner_product =  -3.157196726277789e-16
k = 2 , l = 19 , inner_product =  -4.163336342344337e-17
k = 2 , l = 20 , inner_product =  -1.1666015375944028e-16
k = 2 , l = 21 , inner_product =  1.3877787807814457e-17
k = 2 , l = 22 , inner_product =  1.457167719820518e-16
